Date, Instance, Algorithm, TotalIter, RandSeed, Duration, IterCount, TotalDist, Centers, Assignment
2014-03-28 Fri 21:15:50, pmedcap1(1).txt, [double]ShiftCustomerNeighborhood, 12800, 1396012393, 4.172, 0, 1210.43, 41|7|39|35|37|, 35|39|41|39|35|39|37|7|7|37|41|39|41|35|35|35|37|35|39|7|35|35|41|39|37|35|39|39|37|37|39|35|37|7|7|35|7|37|35|39|41|41|39|41|37|41|7|37|37|41|
2014-03-28 Fri 21:15:50, pmedcap1(1).txt, [double]ShiftCustomerNeighborhood, 25600, 1396012393, 0.002, 0, 863.995, 22|38|29|30|1|, 38|1|22|30|30|1|29|1|1|29|22|1|22|38|38|38|29|38|30|1|38|30|22|30|29|30|1|30|38|29|30|38|38|30|1|38|1|29|38|1|38|22|29|38|22|22|30|30|29|38|
2014-03-28 Fri 21:20:00, pmedcap1(1).txt, [double]ShiftCustomerNeighborhood, 12800, 1396012800, 0.001, 0, 1402.47, 20|14|10|21|15|, 20|21|10|21|21|21|10|21|21|10|10|21|10|20|14|15|10|20|21|21|20|21|10|14|10|15|14|14|14|10|15|20|15|15|14|20|14|10|14|14|20|10|14|20|10|20|21|15|20|20|
2014-03-28 Fri 21:20:00, pmedcap1(1).txt, [double]ShiftCustomerNeighborhood, 25600, 1396012800, 0.002, 0, 1700.14, 19|3|44|7|6|, 44|19|44|3|3|3|6|7|19|44|44|19|44|44|3|3|44|3|3|19|44|3|44|3|6|19|3|3|44|44|3|44|19|19|7|6|19|6|44|7|6|6|19|44|44|6|3|7|6|6|
2014-03-28 Fri 21:29:01, pmedcap1(1).txt, [double]ShiftCustomerNeighborhood, 12800, 1396013341, 0.001, 0, 1035.16, 36|48|17|28|22|, 17|36|22|36|28|36|22|36|36|48|22|36|22|17|17|17|48|17|36|36|17|28|22|36|48|28|28|28|28|48|28|17|17|28|48|17|36|48|17|28|17|22|48|17|22|22|36|28|48|17|
2014-03-28 Fri 21:29:01, pmedcap1(1).txt, [double]ShiftCustomerNeighborhood, 25600, 1396013341, 0.002, 0, 1094.68, 28|21|2|32|19|, 32|19|2|28|21|19|2|19|19|2|2|19|2|2|28|32|2|32|21|19|32|21|2|21|19|21|28|21|28|2|21|2|32|32|19|32|28|2|28|19|2|28|19|2|2|2|21|32|28|32|
2014-04-02 Wed 19:52:36, pmedcap1(1).txt, [unsigned int]ShiftCustomerNeighborhood, 1000, 1396439556, 0.001, 0, 1437, 19|36|27|18|41|, 41|19|41|36|18|36|41|19|19|41|41|19|41|41|18|18|41|18|18|19|18|18|41|27|36|18|36|27|36|41|27|41|18|27|19|36|36|41|36|36|36|41|19|41|36|36|27|27|36|36|
2014-04-02 Wed 19:52:37, pmedcap1(1).txt, [unsigned int]ShiftCustomerNeighborhood, 2000, 1396439556, 0.001, 0, 1013, 33|14|36|30|22|, 14|36|22|36|30|36|22|36|36|22|22|36|22|14|14|14|22|14|30|36|14|30|22|36|36|33|36|30|14|22|30|14|14|33|30|14|36|22|14|30|14|22|36|14|22|22|30|33|30|14|
2014-04-02 Wed 20:32:52, pmedcap1(1).txt, [unsigned int]ShiftCustomerNeighborhood, 1000, 1396441971, 0.001, 0, 1197.41, 38|32|45|7|8|, 38|8|45|8|32|8|45|7|8|45|45|8|45|45|38|32|45|38|32|8|38|32|45|8|8|32|38|8|38|45|32|38|32|32|8|38|7|45|38|7|38|45|7|38|38|45|32|32|38|38|
2014-04-02 Wed 20:32:53, pmedcap1(1).txt, [unsigned int]ShiftCustomerNeighborhood, 2000, 1396441971, 0, 0, 1200.69, 33|43|6|14|42|, 43|42|43|42|14|42|6|42|42|6|43|42|43|43|14|14|6|14|14|42|43|14|6|42|42|33|14|42|14|6|33|43|14|33|6|14|42|6|43|6|43|43|42|43|6|43|33|33|43|43|
2014-04-02 Wed 20:33:55, pmedcap1(1).txt, [unsigned int]ShiftCustomerNeighborhood, 1000, 1396442034, 0.001, 0, 1055.67, 43|3|26|17|16|, 43|3|16|3|3|26|16|3|3|16|16|3|16|43|17|17|16|17|3|3|17|3|16|26|16|17|26|26|26|16|3|43|17|17|26|17|26|16|17|26|43|16|26|43|16|43|3|17|26|43|
