Date, Instance, Algorithm, MAX_ITER_COUNT, MAX_NO_IMPROVE_COUNT, RandSeed, Duration, IterCount, MoveCount, TotalDist, Medians, Assignment
2014-04-10 Thu 21:06:54, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabu(B=1000), 100, 4000, 1397135209, 0.001, 0, 0, 1191.67, 19|5|48|18|28|, 28|5|48|18|18|5|48|19|19|48|48|19|48|48|28|28|48|28|18|19|28|18|48|18|5|18|18|18|28|48|18|48|28|28|19|28|18|48|28|19|48|5|5|28|48|28|18|18|48|28|
2014-04-10 Thu 21:07:04, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabu(B=1000), 200, 4000, 1397135209, 0, 0, 0, 1048.45, 35|3|6|22|30|, 35|3|22|3|30|3|6|3|3|6|22|3|22|35|35|35|6|35|30|3|35|30|22|3|6|30|3|30|3|6|30|35|35|30|30|35|3|6|35|30|35|22|6|35|22|22|3|35|6|35|
2014-04-10 Thu 21:09:04, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabu(B=1000), 100, 4000, 1397135339, 0, 1, 11, 1151.19, 44|42|12|21|34|, 12|42|12|42|21|42|44|34|34|44|12|34|12|12|12|12|44|12|21|34|12|21|44|34|42|21|21|21|21|44|21|12|21|21|34|12|42|44|12|34|12|44|42|12|44|12|21|21|12|12|
2014-04-10 Thu 21:09:23, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabu(B=1000), 200, 4000, 1397135339, 0, 1, 6, 996.308, 37|32|48|39|20|, 20|39|48|48|32|39|37|39|39|37|48|39|48|20|20|32|37|20|32|39|20|32|37|39|37|32|39|39|32|37|39|20|32|32|48|20|39|37|20|39|20|37|37|20|37|37|32|32|48|20|
2014-04-10 Thu 21:11:39, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabu(B=2000), 200, 4000, 1397135481, 0.001, 1, 6, 1099.17, 7|20|39|40|12|, 20|7|12|39|39|39|12|7|7|12|12|7|12|40|20|20|12|20|39|7|20|39|12|39|39|20|39|39|20|12|39|40|20|20|7|40|39|12|12|39|40|40|7|20|12|12|39|20|12|20|
2014-04-10 Thu 21:11:56, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabu(B=2000), 400, 4000, 1397135481, 0, 1, 11, 1279.52, 30|7|20|27|11|, 20|11|20|27|30|11|11|7|7|11|20|11|20|20|30|30|27|20|27|7|20|30|20|27|11|30|27|27|30|11|30|20|30|30|7|20|27|11|20|11|20|20|11|20|11|20|30|30|27|20|
2014-04-10 Thu 21:14:00, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabu(B=4000), 200, 2000, 1397135635, 0, 1, 10, 1659.86, 10|24|9|6|34|, 10|34|10|24|24|24|6|34|34|9|10|34|10|10|10|9|9|10|24|34|10|9|6|24|24|9|24|34|9|9|34|10|10|9|34|10|24|9|10|34|10|6|34|10|6|10|34|9|9|10|
2014-04-10 Thu 21:14:09, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabu(B=4000), 400, 2000, 1397135635, 0.001, 1, 5, 1059.17, 20|8|26|47|18|, 20|8|20|26|18|26|26|8|8|26|20|8|20|20|18|47|26|20|18|8|20|18|20|18|26|47|26|18|18|26|18|20|47|47|8|20|26|26|20|8|20|20|8|20|26|20|18|47|26|20|
2014-04-11 Fri 09:34:25, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabu(B=4000), 200, 2000, 1397180060, 0, 1, 6, 1354.51, 12|32|16|37|31|, 31|37|12|16|32|37|37|37|37|16|12|37|12|31|31|32|16|31|32|37|31|32|12|32|37|32|37|32|12|37|32|31|32|32|16|31|16|37|31|16|31|12|37|31|16|12|32|32|16|31|
2014-04-11 Fri 09:34:36, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabu(B=4000), 400, 2000, 1397180060, 0, 1, 1, 1093.28, 28|15|39|19|45|, 15|39|45|39|28|39|45|19|19|45|45|19|45|45|28|15|45|15|28|19|15|28|45|39|39|15|28|39|28|39|28|45|15|15|19|15|39|45|28|39|45|45|39|15|45|45|28|15|28|15|
