Date, Instance, Algorithm, MAX_ITER_COUNT, MAX_NO_IMPROVE_COUNT, RandSeed, Duration, IterCount, MoveCount, TotalDist, Medians, Assignment
2014-05-06 Tue 21:27:44, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocateTabu(Ta=31|To=12|Tc=1|D=23), 1600, 2000, 1399382780, 1.972, 41, 130827, 817, 44|4|1|2|14|, 14|1|2|4|4|1|44|1|1|44|2|1|2|2|14|14|44|14|4|1|14|4|44|4|44|4|4|4|14|44|4|2|14|4|1|14|1|44|14|1|2|2|1|14|44|2|4|4|44|14|
2014-05-06 Tue 21:29:04, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(T=31|D=23), 1600, 2000, 1399382864, 16.634, 340, 1147114, 749, 35|18|11|2|37|, 35|11|2|18|18|11|37|11|11|37|2|11|2|2|35|35|37|35|18|11|35|18|2|18|37|35|18|18|18|37|18|35|35|35|11|35|18|37|35|11|2|2|11|35|37|2|18|18|37|35|
2014-05-06 Tue 21:30:22, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocateTabu(Ta=31|To=12|Tc=1|D=23), 1600, 2000, 1399382944, 2.998, 64, 214236, 834, 32|10|23|1|37|, 10|1|10|23|23|1|37|1|1|37|10|1|10|10|32|32|37|32|23|1|32|23|10|23|37|32|23|23|23|37|23|10|32|32|1|32|23|37|32|1|10|10|1|10|37|10|23|32|37|32|
2014-05-06 Tue 21:31:32, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(T=31|D=23), 1600, 2000, 1399383022, 14.579, 297, 997617, 713, 47|20|18|11|9|, 20|11|9|18|18|11|9|11|11|9|20|11|9|20|20|47|9|20|18|11|20|18|9|18|11|47|18|18|18|9|18|20|47|47|11|20|18|9|20|11|20|9|11|20|9|9|18|47|9|20|
2014-05-06 Tue 21:33:00, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocateTabu(Ta=31|To=12|Tc=1|D=23), 1600, 2000, 1399383092, 0.514, 12, 37521, 845, 27|38|33|44|39|, 38|39|44|27|27|39|44|39|39|44|44|39|44|38|38|33|44|38|27|39|38|27|44|27|39|33|27|27|38|44|27|38|33|33|39|38|27|44|38|39|38|44|39|38|44|44|27|33|38|38|
2014-05-06 Tue 21:34:19, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(T=31|D=23), 1600, 2000, 1399383180, 12.996, 259, 849457, 713, 9|18|11|47|20|, 20|11|9|18|18|11|9|11|11|9|20|11|9|20|20|47|9|20|18|11|20|18|9|18|11|47|18|18|18|9|18|20|47|47|11|20|18|9|20|11|20|9|11|20|9|9|18|47|9|20|
2014-05-06 Tue 21:35:43, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocateTabu(Ta=31|To=12|Tc=1|D=23), 1600, 2000, 1399383259, 3.165, 64, 214996, 804, 23|19|9|33|0|, 0|19|9|23|23|9|9|19|19|9|9|19|9|0|0|33|9|0|23|19|0|23|9|23|9|33|23|23|23|9|23|0|33|33|19|0|23|9|0|19|0|0|19|0|9|9|23|33|9|0|
2014-05-06 Tue 21:37:00, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(T=31|D=23), 1600, 2000, 1399383343, 12.838, 256, 886287, 714, 47|16|18|11|20|, 20|11|16|18|18|11|16|11|11|16|16|11|16|20|20|47|16|20|18|11|20|18|16|18|16|47|18|18|18|16|18|20|47|47|11|20|18|16|20|11|20|20|11|20|16|16|18|47|16|20|
2014-05-06 Tue 21:38:23, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocateTabu(Ta=31|To=12|Tc=1|D=23), 1600, 2000, 1399383420, 4.808, 99, 332984, 804, 39|30|29|45|17|, 17|39|45|30|30|29|29|39|39|29|45|39|45|17|17|17|29|17|30|39|17|30|45|30|29|30|39|30|17|29|30|17|17|30|39|17|39|29|17|39|17|45|39|17|29|45|30|30|29|17|
2014-05-06 Tue 21:39:42, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(T=31|D=23), 1600, 2000, 1399383503, 11.522, 229, 777339, 713, 20|9|11|47|18|, 20|11|9|18|18|11|9|11|11|9|9|11|9|20|20|47|9|20|18|11|20|18|9|18|9|47|18|18|18|9|18|20|47|47|11|20|18|9|20|11|20|20|11|20|9|9|18|47|9|20|
2014-05-06 Tue 21:40:58, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocateTabu(Ta=31|To=12|Tc=1|D=23), 1600, 2000, 1399383582, 4.629, 92, 310226, 810, 44|33|35|1|23|, 35|1|44|23|23|1|44|1|1|44|44|1|44|35|35|35|44|35|23|1|35|23|44|23|1|33|23|23|23|44|23|35|35|33|1|35|23|44|35|1|35|44|1|35|44|44|23|33|23|35|
2014-05-06 Tue 21:42:16, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(T=31|D=23), 1600, 2000, 1399383658, 11.275, 232, 794394, 713, 20|9|11|47|18|, 20|11|9|18|18|11|9|11|11|9|9|11|9|20|20|47|9|20|18|11|20|18|9|18|9|47|18|18|18|9|18|20|47|47|11|20|18|9|20|11|20|20|11|20|9|9|18|47|9|20|
2014-05-06 Tue 21:43:35, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocateTabu(Ta=31|To=12|Tc=1|D=23), 1600, 2000, 1399383736, 30.22, 576, 1920718, 807, 18|12|39|29|35|, 35|39|12|18|18|39|29|39|39|29|12|39|12|35|35|35|29|35|18|39|35|18|12|18|29|18|18|18|18|29|18|35|35|35|39|35|39|29|35|39|35|12|39|35|12|12|18|18|29|35|
2014-05-06 Tue 21:44:55, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(T=31|D=23), 1600, 2000, 1399383815, 28.078, 569, 1912210, 715, 47|11|16|18|43|, 43|11|16|18|18|11|16|11|11|16|16|11|16|43|43|47|16|43|18|11|43|18|16|18|16|47|18|18|18|16|18|43|47|47|11|43|18|16|43|11|43|43|11|43|16|16|18|47|16|43|
2014-05-06 Tue 21:46:06, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocateTabu(Ta=31|To=12|Tc=1|D=23), 1600, 2000, 1399383895, 23.777, 422, 1418115, 782, 44|17|3|4|1|, 17|1|44|3|4|1|44|1|1|44|44|1|44|17|17|17|44|17|4|1|17|4|44|3|1|4|3|3|4|44|4|17|17|4|1|17|3|44|17|1|17|44|1|17|44|44|4|4|3|17|
2014-05-06 Tue 21:47:23, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(T=31|D=23), 1600, 2000, 1399383966, 4.237, 80, 263669, 758, 41|11|16|35|18|, 35|11|41|18|18|11|16|11|11|16|41|11|16|35|35|35|16|35|18|11|35|18|41|18|16|18|18|18|18|16|18|35|35|35|11|35|11|16|35|11|35|41|11|35|16|41|18|18|16|35|
